ID,Title,Tags,Links,Status,Decision
37607187,Effects of coenzyme Q10 and N-acetylcysteine on experimental poisoning by paracetamol in Wistar rats.,,https://pubmed.ncbi.nlm.nih.gov/37607187/,In Queue,Valid
37606871,Changes in hospital consumption of opioid and non-opioid analgesics after colorectal endometriosis surgery.,,https://pubmed.ncbi.nlm.nih.gov/37606871/,In Queue,Valid
37606145,Treatment of fever and associated symptoms in the emergency department: which drug to choose?,,https://pubmed.ncbi.nlm.nih.gov/37606145/,In Queue,Valid
37605667,An Unusual IgE-Mediated Hypersensitivity: Two Case Reports of Paracetamol Allergy.,,https://pubmed.ncbi.nlm.nih.gov/37605667/,In Queue,Valid
37604787,Medication use in a cohort of adults with chronic intestinal failure: A prospective cross-sectional study.,,https://pubmed.ncbi.nlm.nih.gov/37604787/,In Queue,Valid
37604637,"Effect of single versus multiple prophylactic antibiotic doses on prosthetic joint infections following primary total hip arthroplasty in patients with osteoarthritis at public and private hospitals in Denmark: protocol for a nationwide cross-over, cluster randomised, non-inferiority trial [The Pro-Hip-Quality Trial].",,https://pubmed.ncbi.nlm.nih.gov/37604637/,In Queue,Valid
37604626,"Graphene/metal-organic framework nano-sandwiches derived N, P-codoped porous carbon nanosheets as robust material for electrochemical analysis.",,https://pubmed.ncbi.nlm.nih.gov/37604626/,In Queue,Valid
37604095,"Discovery of hepatoprotective activity components from Thymus quinquecostatus celak. by molecular networking, biological evaluation and molecular dynamics studies.",,https://pubmed.ncbi.nlm.nih.gov/37604095/,In Queue,Valid
37603141,Maturation of Paracetamol Elimination Routes in Preterm Neonates Born Below 32 Weeks of Gestation.,,https://pubmed.ncbi.nlm.nih.gov/37603141/,In Queue,Valid
37601961,Efficacy of Transversus Abdominis Plane Block for Postoperative Analgesia in Different Lower Abdominal Surgeries in a Tertiary Care Hospital-Chengalpattu District.,,https://pubmed.ncbi.nlm.nih.gov/37601961/,In Queue,Valid
